"id","name","image","modified","updated_by_id","listened_count"
"52","Игорь Бутман","images/artists/image_FwoGwwV.jpg","23/11/2023 10:59:43.-1f+00","1","0"
"53","Вячеслав Бутусов","images/artists/image_WIhdZU4.jpg","23/11/2023 11:04:53.-1f+00","1","0"
"54","Бьянка","images/artists/image_UDQ58u7.jpg","23/11/2023 11:08:58.-1f+00","1","0"
"55","Ваграм Вазян","images/artists/image_0xkEc9N.jpg","23/11/2023 11:10:27.-1f+00","1","0"
"56","Лайма Вайкуле","images/artists/image_2p0iMz9.jpg","23/11/2023 11:12:28.-1f+00","1","0"
"57","Валерия","images/artists/image_DpVMTJW.jpg","28/9/2023 05:08:39.-1f+00","1","0"
"58","ANIVAR","images/artists/image_kR8WZQN.jpg","22/8/2023 09:29:29.-1f+00","1","0"
"59","Анжелика Варум","images/artists/image_gbyq2uF.jpg","12/9/2023 09:13:57.-1f+00","1","0"
"60","Маша Вебер","images/artists/image_F1Nwsf2.jpg","23/11/2023 11:14:42.-1f+00","1","0"
"61","Верка Сердючка","images/artists/image_JhYrOSr.jpg","23/11/2023 11:25:08.-1f+00","1","0"
"62","Наталья Ветлицкая","images/artists/image_k8oJaJQ.jpg","20/9/2023 11:59:56.-1f+00","1","0"
"63","Виктория Пьер-Мари","images/artists/image_n9wim8j.jpg","22/8/2023 11:40:21.-1f+00","1","0"
"64","Витас","images/artists/image_74ymi6e.jpg","26/9/2023 10:57:09.-1f+00","1","0"
"65","Наталия Власова","images/artists/image_en2cKuw.jpg","21/9/2023 06:25:51.-1f+00","1","0"
"66","Алексей Воробьёв","images/artists/image_J7IJPfb.jpg","22/8/2023 11:49:11.-1f+00","1","0"
"67","Полина Гагарина","images/artists/image_0nRqxFW.jpg","22/8/2023 11:50:24.-1f+00","1","0"
"68","Олег Газманов","images/artists/image_DSvm2Fv.jpg","22/8/2023 11:51:57.-1f+00","1","0"
"69","Родион Газманов","images/artists/image_smoZwGK.jpg","20/9/2023 06:07:33.-1f+00","1","0"
"70","Сергей Галанин","images/artists/image_6CY93BG.jpg","22/8/2023 11:59:51.-1f+00","1","0"
"71","Тамара Гвердцители","images/artists/image_HadE32J.jpg","22/8/2023 12:03:19.-1f+00","1","0"
"72","Алексей Глызин","images/artists/image_bbXonxv.jpg","7/10/2023 04:58:19.-1f+00","1","0"
"73","Глюк'OZA","images/artists/image_BnU3dra.jpg","23/8/2023 15:32:18.-1f+00","1","0"
"74","Григорий Лепс","images/artists/image_uwKrl0S.jpg","15/12/2023 12:38:51.-1f+00","22","0"
"75","Андрей Губин","images/artists/image_xSa99Hi.jpg","13/9/2023 07:02:02.-1f+00","1","0"
"76","Наталья Гулькина","images/artists/image_ctPoFsB.jpg","20/9/2023 11:23:40.-1f+00","1","0"
"77","Диана Гурцкая","images/artists/image_G3ickgC.jpg","24/9/2023 08:03:06.-1f+00","1","0"
"78","Гусейн Манапов","images/artists/image_VijWjR0.jpg","22/8/2023 12:19:11.-1f+00","1","0"
"79","Елена Ваенга","images/artists/image_T4Zk39Q.jpg","22/8/2023 12:21:05.-1f+00","1","0"
"80","Валерий Меладзе","images/artists/image_xDQaGw2.jpg","28/9/2023 05:03:04.-1f+00","1","0"
"81","Михаил Круг","images/artists/image_bFojRWZ.jpg","22/8/2023 12:24:17.-1f+00","1","0"
"82","Непара","images/artists/image_owIJWVl.jpg","22/8/2023 12:25:32.-1f+00","1","0"
